label,path,is_corrupted,phash,width,height,aspect_ratio,area_px,mean_r,mean_g,mean_b,std_r,std_g,std_b,brightness_mean,brightness_std,saturation_mean,saturation_std,sharpness_lapl_var,colorfulness
cardboard,trashnet\data\dataset-resized\cardboard\cardboard1.jpg,False,,512,384,1.3333333333333333,196608,189.0046132405599,155.5018107096354,126.71579996744792,34.50355598557893,31.122358900442826,28.974699541078824,189.0046641031901,34.50329225637778,85.77412923177083,10.469748264293376,79.26169324601587,23.230368262540114
cardboard,trashnet\data\dataset-resized\cardboard\cardboard10.jpg,False,,512,384,1.3333333333333333,196608,186.06396484375,163.29998270670572,142.50759887695312,41.51448496175811,38.17263065388753,36.15404842230222,186.1687469482422,41.148602051317376,60.76554870605469,15.049106151039654,411.0762308966111,21.51366088749522
cardboard,trashnet\data\dataset-resized\cardboard\cardboard100.jpg,False,,512,384,1.3333333333333333,196608,186.09801737467447,181.42232259114584,176.54828389485678,40.46307448608823,46.3090828777181,50.50277650161305,187.87669372558594,37.16434618761979,24.308985392252605,45.56660077773199,225.41934885819333,23.504846160744165
cardboard,trashnet\data\dataset-resized\cardboard\cardboard101.jpg,False,,512,384,1.3333333333333333,196608,148.70323689778647,127.27651468912761,102.96895853678386,62.84238376320575,70.21406370100595,75.7619958342348,148.70323689778647,62.84238376320574,103.31294759114583,60.639688311416286,21.52835077047348,28.07029530925677
cardboard,trashnet\data\dataset-resized\cardboard\cardboard102.jpg,False,,512,384,1.3333333333333333,196608,173.02935791015625,163.70357259114584,152.38250732421875,38.524674112484554,46.85955747206892,55.952562581493815,173.6674346923828,39.142016737134135,39.38495381673177,38.05887658892472,91.03784639758267,23.231992215010354
cardboard,trashnet\data\dataset-resized\cardboard\cardboard103.jpg,False,,512,384,1.3333333333333333,196608,186.51338704427084,163.29727681477866,141.53119913736978,33.60446964124086,36.39142628831419,38.903013392430324,186.51441446940103,33.606335090368674,65.1603495279948,22.582376962841902,89.05006369906995,20.53255498138185
cardboard,trashnet\data\dataset-resized\cardboard\cardboard104.jpg,False,,512,384,1.3333333333333333,196608,167.47713216145834,144.38956705729166,113.91161600748698,33.297427447974236,31.580896901650686,31.17221268739412,167.47820027669272,33.29952263982613,84.59456888834636,16.77345140030375,120.68137583757441,21.751561271855163
cardboard,trashnet\data\dataset-resized\cardboard\cardboard105.jpg,False,,512,384,1.3333333333333333,196608,189.4012196858724,159.23467000325522,123.67402648925781,47.75939910614602,41.82229311300145,34.770389982712544,189.43465169270834,47.656417477770304,89.39008076985677,15.577818500594173,390.50084479484286,32.186312633049184
cardboard,trashnet\data\dataset-resized\cardboard\cardboard106.jpg,False,,512,384,1.3333333333333333,196608,174.23401896158853,147.4436289469401,120.50801086425781,65.59657815473795,49.37594643449148,39.8515205978903,175.01555379231772,64.41066350838666,74.39888000488281,26.72681652430628,650.2632526318388,42.506552670880076
cardboard,trashnet\data\dataset-resized\cardboard\cardboard107.jpg,False,,512,384,1.3333333333333333,196608,184.79261779785156,155.88837687174478,125.20184326171875,36.29567557011865,33.551572687121435,31.515813344145368,184.80784606933594,36.235648819424384,84.36411539713542,16.10058444002115,178.87406776077114,23.93530710805641
cardboard,trashnet\data\dataset-resized\cardboard\cardboard108.jpg,False,,512,384,1.3333333333333333,196608,136.93293253580728,118.36724853515625,95.91950988769531,35.37892167950565,34.62578273851671,36.64444993000817,137.54377237955728,36.53454288152681,81.4326171875,21.484342011397494,590.6164021355411,22.24877579305493
cardboard,trashnet\data\dataset-resized\cardboard\cardboard109.jpg,False,,512,384,1.3333333333333333,196608,174.4989980061849,147.22733561197916,123.42151387532552,36.15970689712493,50.262355367645775,68.38790010804541,176.54212443033853,39.27332619499443,90.13259887695312,48.98733560024476,53.11874321755022,41.24036559357892
cardboard,trashnet\data\dataset-resized\cardboard\cardboard11.jpg,False,,512,384,1.3333333333333333,196608,170.58100382486978,144.4941864013672,114.91414896647136,49.030039496371764,45.3011100175538,42.77324247960232,170.8021036783854,48.7389246822759,88.77546691894531,27.1915678630272,128.01469137951628,26.950078465831808
cardboard,trashnet\data\dataset-resized\cardboard\cardboard110.jpg,False,,512,384,1.3333333333333333,196608,207.0443369547526,164.58029174804688,104.14900207519531,18.264449371768947,18.060319007495778,16.388107525856928,207.0443369547526,18.264449371768904,127.54280090332031,9.429873002006817,35.31135876311196,30.47640046129729
